Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,989920.90,171401.81,657500.00,520,0,767,0,790,0,140,0,16,0.4839787060094395,1500
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,18385675.46,2323685.17,5361250.00,8690,0,19166,0,16396,0,2223,0,162,0.6584898413261483,22452
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,106303806.89,7183647.86,14858250.00,18276,0,9490,0,41940,0,5823,0,411,0.8041485177867167,60972
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,704749.93,44936708.57,140374100.00,12469,2739,0,14491,0,26681,0,8012,946,0.7960279710431041,84072
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,31603150.99,16608245.36,140819400.00,15043,0,14564,0,23501,0,7890,0,930,0.8312976802720833,78216
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,710641.83,35004843.82,131470500.00,10411,2221,0,11374,0,20197,0,7101,908,0.8251645085802524,69840
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,494317.38,39413844.05,133616000.00,10230,2245,0,11380,0,20083,0,7348,899,0.8219092723883507,67584
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,440796.56,34118721.02,139080900.00,10212,2120,0,10846,0,18856,0,7297,899,0.8306629032241611,66912
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,421286.37,34322477.73,141394000.00,5282,6427,0,10740,0,21522,0,6626,893,0.8276294503942341,65052
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,845.98,213844351.39,0.00,0,33315,0,35777,0,58313,0,7021,65,1.9580234858843542,27420
